CODIGO,MATERIA,REPETICION
103023010790,Matemáticas Generales,1
103018021491,Química Analítica General,2
103019020715,Química Analítica General,1
103022010804,Química Analítica General,1
103018021746,Química Analítica General,1
103021010729,Química Analítica General,1
103020011040,Química Analítica General,1
103019020728,Química Analítica General,2
103021011747,Química Analítica General,1
103020011056,Química Analítica General,1
103017020410,Química Analítica General,2
103021010712,Química Analítica General,1
103019010160,Química Analítica General,1
103021020628,Química Analítica General,1
103020011041,Química Analítica General,1
103021020622,Química Analítica General,1
103020011070,Química Analítica General,1
103021010727,Química Analítica General,1
103020011066,Química Analítica General,1
103023010785,Química General,1
103023010779,Química General,1
103022020619,Química General,2
103023010783,Química General,1
103022020606,Química General,2
103023010776,Química General,1
103023010784,Química General,1
103022020613,Química General,1
103023010799,Química General,1
103023010781,Química General,1
103023010792,Química General,1
103021021288,Química General,2
103023010787,Química General,1
103023010791,Química General,1
103016020498,Química General,3
103022020638,Química Orgánica General ,1
103022020626,Química Orgánica General ,1
103022020623,Química Orgánica General ,1
103019020717,Química Orgánica General ,2
103022020617,Química Orgánica General ,1
103021010720,Química Orgánica General ,3
103019010188,Química Orgánica General ,2
103018021373,Química Orgánica General ,3
103022020601,Química Orgánica General ,1
103022020614,Química Orgánica General ,1
103019010184,Química Orgánica General ,2
103021020623,Química Orgánica General ,1
103021020607,Química Orgánica General ,1
103022020625,Química Orgánica General ,1
103021020634,Química Orgánica General ,1
103022020600,Química Orgánica General ,1
103020011058,Química Orgánica General ,1
103019020744,Química Orgánica General ,3
103022020618,Química Orgánica General ,1
103018010946,Zoología de Invertebrados,3
103016020498,Zoología de Invertebrados,2
103112021030,Análisis de la Políticas Públicas,1
103112021030,Análisis Político,2
103121020784,Antropología Política,1
103122020839,Antropología Política,1
103117010680,"Comunicación, Cultura y Política",2
103113010235,Comunicación Política y Opinión Pública,1
103118010933,Comunicación Política y Opinión Pública,1
103121020779,Derecho Constitucional Colombiano,2
103122020839,Derecho Constitucional Colombiano,1
103121011022,Economía Política y del Desarrollo,1
103121011025,Economía Política y del Desarrollo,1
103121020758,Historia Política de Colombia,1
103123011330,Historia Política de Colombia,1
103121020779,Historia Política de Colombia,1
103121020761,Historia Política de Colombia,1
103122020845,Historia Política de Colombia,2
103122011128,Historia Política de Colombia,1
103122011112,Historia Política Latinoamericana,1
103122020839,Historia Política Latinoamericana,1
103122020840,Instituciones Políticas Colombiana,1
103121021304,Instituciones Políticas Colombiana,2
103121020779,Introducción a la Economía,2
103122020839,Introducción a la Economía,1
103122011128,Introducción a la Economía,1
103121020758,Introducción a los Métodos y Técnicas de Investigación Social,2
103122020838,Introducción a los Métodos y Técnicas de Investigación Social,1
103122020866,Matemáticas y Estadística Aplicada Ciencias Sociales,1
103122020859,Matemáticas y Estadística Aplicada Ciencias Sociales,1
103121021304,Matemáticas y Estadística Aplicada Ciencias Sociales,1
103119020963,Matemáticas y Estadística Aplicada Ciencias Sociales,2
103122020855,Matemáticas y Estadística Aplicada Ciencias Sociales,1
103112021030,Métodos Cualitativos II,3
103116020986,Métodos Cualitativos II,1
103117010680,Métodos Cualitativos II,2
103122011128,Métodos Cuantitativos I,1
103121011043,Métodos Cuantitativos II,2
103119020947,"Partidos Políticos, Sistema Electoral y Movimientos Sociales",1
103122020838,Pensamiento Político Clásico,1
103121020758,Pensamiento Político Moderno y Contemporáneo,2
103121020779,Pensamiento Político Moderno y Contemporáneo,3
103122020839,Pensamiento Político Moderno y Contemporáneo,1
103117010680,Política Comparada II,2
103116020488,Política Internacional Contemporánea,2
103119010214,Política Internacional Contemporánea,1
103121020758,Política Internacional Contemporánea,1
103120011323,Política Internacional Contemporánea,1
103119010196,Política Internacional Contemporánea,1
103118010963,Seminario de trabajo de grado II,1
103115021153,Seminario de trabajo de grado II,1
103118011518,Seminario Trabajo de Grado I,1
103113021243,Seminario Trabajo de Grado I,3
103117010680,Teoría de la Administración Pública,1
103122011128,Teoría de la Administración Pública,1
103122020840,Teoría de las Relaciones Internacionales,1
103117011886,Teoría de las Relaciones Internacionales,3
103121020758,Teoría de las Relaciones Internacionales,1
103121021304,Teoría de las Relaciones Internacionales,1
103120011322,Teoría de las Relaciones Internacionales,2
103119020963,Teoría de las Relaciones Internacionales,1
103122011111,Teoría de las Relaciones Internacionales,1
103122011124,Teoría de las Relaciones Internacionales,1
103117011886,Teoría de Políticas Públicas,3
103119020956,Teoría de Políticas Públicas,1
103120011322,Teoría de Políticas Públicas,1
103120011336,Teoría de Políticas Públicas,1
103119020963,Teoría de Políticas Públicas,1
103121021304,Teoría Política I,1
103115011163,Trabajo de Grado,1
103113021247,Trabajo de Grado,2
103113011331,Trabajo de Grado,2
103114020859,Trabajo de Grado,2
103112010826,Trabajo de Grado,1
31102181,Trabajo de Grado,3
103113010356,Trabajo de Grado,1
31071086,Trabajo de Grado,3
103112020454,Trabajo de Grado,3
31092055,Trabajo de Grado,3
31051059,Trabajo de Grado,2
103114011588,Trabajo de Grado,2
103115011177,Trabajo de Grado,1
103112010621,Trabajo de Grado,3
31042023,Trabajo de Grado,2
103114021649,Trabajo de Grado,1
31071056,Trabajo de Grado,1
103113010125,Trabajo de Grado,1
103115011167,Trabajo de Grado,1
103113021008,Trabajo de Grado,1
103114020872,Trabajo de Grado,2
103112010317,Trabajo de Grado,1
103112021056,Trabajo de Grado,1
31072021,Trabajo de Grado,1
103115011176,Trabajo de Grado,1
103114010932,Trabajo de Grado,1
104821020802,Apreciación visual,2
104817010945,Comunicación educación,1
104820011393,Comunicación educación,1
104814010466,Comunicación educación,1
104812011324,Comunicación educación,4
104819010263,Comunicación educación,1
104817011129,Comunicación educación,1
104816010804,Comunicación educación,1
104818011580,Comunicación educación,1
104818010632,Comunicación educación,2
48992077,Comunicación educación,1
104819010267,Comunicación educación,1
104818011586,Comunicación educación,1
104813010281,"Comunicación, Sociedad y Desarrollo I",2
104814010466,"Comunicación, Sociedad y Desarrollo I",1
104819010263,Comunicación y procesos organizacionales I,1
104811010607,Comunicación y Procesos Organizacionales III,2
104821020805,Constitución política,1
104821020802,Constitución política,2
104822020872,Contextos contemporáneos latinoamericanos,1
104822020899,Contextos contemporáneos latinoamericanos,1
104822020878,Contextos contemporáneos latinoamericanos,1
104811010607,Electiva Artística - Periodismo literario y narrativa de no ficción,1
104819010267,Electiva Artística - Periodismo literario y narrativa de no ficción,1
48071009,Emprendimiento en comunicación I,2
104817010671,Ética y legislación,2
104821020802,Fotografía,1
104820011384,Fundamentos de publicidad,1
104818010976,Lenguaje radial,1
104821020817,Lenguaje radial,1
104821020802,Lenguaje radial,1
104812011324,Narrativas Multimediales,3
48071009,Narrativas Multimediales,1
102417011854,Narrativas Multimediales,2
104821020805,Periodismo I,1
104820011384,Periodismo I,1
102417011854,Producción Médiatica I,1
104812010660,Producción Mediatica III,2
104821020802,Taller de lectura y escritura I,2
101521010299,Administración,1
101520010612,"Aplicaciones Tecnológicas, Contables y Financieras",1
101522020234,Contabilidad Financiera II,1
101522020253,Contabilidad Financiera II,1
101521020232,Contabilidad Financiera II,1
101522020251,Contabilidad Financiera II,1
101522020222,Contabilidad Financiera II,1
101522020218,Contabilidad Financiera II,1
101522020235,Contabilidad Financiera II,1
101522020240,Contabilidad Financiera II,1
101522010366,Contabilidad Financiera III,1
101517010619,Contabilidad Financiera III,2
101519020373,Contabilidad Financiera III,1
101522010350,Contabilidad Financiera III,1
101520010602,Contabilidad Financiera IV (Electiva Profesional I ),1
101520010613,Contabilidad Financiera IV (Electiva Profesional I ),1
101519010314,Contabilidad Financiera IV (Electiva Profesional I ),2
101520010612,Derecho Administrativo,1
101517011516,Derecho Administrativo,1
101522020235,Derecho Comercial ,1
101519020353,Derecho Comercial ,1
101520010636,Derecho Laboral,1
101520010604,Derecho Laboral,1
101518020258,Economía Internacional,2
101516010644,Epistemología de las Ciencias Humanas y Sociales,1
15061042,Epistemología de las Ciencias Humanas y Sociales,3
101518020287,Epistemología e Investigación Contable,1
101514020413,Epistemología e Investigación Contable,2
101520010617,Epistemología e Investigación Contable,1
101522020245,Estadística Descriptiva,1
101522010356,Estadística Descriptiva,1
101522020222,Estadística Descriptiva,1
101522020218,Estadística Descriptiva,1
101520010613,Estadística Inferencial,3
101513020896,Estadística Inferencial,2
101518020287,Estadística Inferencial,3
101521010281,Estadística Inferencial,1
101521010296,Estadística Inferencial,1
101514010596,Estadística Inferencial,2
101521020264,Estadística Inferencial,2
101517010619,Estadística Inferencial,3
101515011923,Estadística Inferencial,2
101521010320,Estadística Inferencial,1
101517010862,Estadística Inferencial,1
101512010810,Finanzas Corporativas,1
101515011923,Formulación y Evaluación de Proyectos,2
101521020238,Fundamentos de Cálculo,1
101520010627,Fundamentos de Cálculo,3
101517010722,Fundamentos de Cálculo,2
101522020243,Fundamentos de Cálculo,1
101515021187,Fundamentos de Cálculo,1
101522020245,Fundamentos de Cálculo,1
101522020228,Fundamentos de Cálculo,1
101521010310,Fundamentos de Cálculo,1
101520010604,Gerencia Estratégica,1
101513020529,Gerencia Estratégica de Costos,1
101517011353,Gerencia Estratégica de Costos,1
101518010320,Gerencia Estratégica de Costos,1
101514011217,Gerencia Estratégica de Costos,2
101512010810,Gerencia Estratégica de Costos,2
101518010322,Gerencia Estratégica de Costos,1
101511010405,Gerencia Estratégica de Costos,1
101516021574,Gerencia Estratégica de Costos,1
101514020413,Gerencia Financiera,1
15061042,Introducción a la Economía,2
101518020260,Legislación Económico - Financiera,1
101520010612,Macroeconomía,1
101520010639,Macroeconomía,1
101519010290,Macroeconomía,1
101523010696,Matemáticas I,1
101523010689,Matemáticas I,1
15061042,Metodología de la Investigación,1
101514010596,Metodología de la Investigación,2
101519020367,Metodología de la Investigación,2
101520010613,Microeconomía,1
101518021487,Microeconomía,1
101520010636,Microeconomía,1
101521010282,Microeconomía,1
101517011626,Opcion de grado: Practica-pasantia,1
101515021804,Opcion de grado: Practica-pasantia,1
101517011331,Opcion de grado: Practica-pasantia,1
101516020728,Opcion de grado: Practica-pasantia,1
101515010504,Opcion de grado: Preparatorios,3
101517012243,Opcion de grado: Preparatorios,2
101515020355,Opcion de grado: Preparatorios,5
101514010238,Opcion de grado: Preparatorios,3
101515021403,Opcion de grado: Trabajo de Investigación,1
101516010652,Revisoría Fiscal,1
101518020254,Sistema de Costo,1
101518020296,Sistema de Costo,1
101520010613,Teoría Contable,1
101517020693,Teoría Contable,1
101519010292,Teoría Contable,1
101519020367,Teoría Contable,1
101520010613,Teoría General Sistemas,1
101520010636,Teoría General Sistemas,1
101520010604,Teoría General Sistemas,1
101518020253,Teoría General Sistemas,3
101518020258,Teoría y Fundamentos Costos,1
101517012021,Opcion de grado: Practica-pasantia,1
